YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1927-03,	1650,	0.291,	 4.00
1927-04,	 856,	0.291,	 4.00
1927-05,	 951,	0.291,	 4.00
1927-06,	 405,	0.291,	 4.00
1927-07,	 295,	0.291,	 4.00
1927-08,	 219,	0.291,	 4.00
1927-09,	 222,	0.291,	 4.00
1927-10,	 456,	0.291,	 4.00
1927-11,	1418,	0.291,	 4.00
1927-12,	1833,	0.291,	 4.00
1928-01,	1096,	0.291,	 4.00
1928-02,	 742,	0.291,	 4.00
1928-03,	1253,	0.291,	 4.00
1928-04,	2042,	0.291,	 4.00
1928-05,	 878,	0.291,	 4.00
1928-06,	 656,	0.291,	 4.00
1928-07,	 401,	0.291,	 4.00
1928-08,	 406,	0.291,	 4.00
1928-09,	 312,	0.291,	 4.00
1928-10,	 534,	0.291,	 4.00
1928-11,	 689,	0.291,	 4.00
1928-12,	 852,	0.291,	 4.00
1929-01,	1020,	0.291,	 4.00
1929-02,	 451,	0.291,	 4.00
1929-03,	1763,	0.291,	 4.00
1929-04,	1856,	0.291,	 4.00
1929-05,	1448,	0.291,	 4.00
1929-06,	 418,	0.291,	 4.00
1929-07,	 351,	0.291,	 4.00
1929-08,	 304,	0.291,	 4.00
1929-09,	 257,	0.291,	 4.00
1929-10,	 439,	0.291,	 4.00
1929-11,	 542,	0.291,	 4.00
1929-12,	 594,	0.291,	 4.00
1930-01,	1646,	0.291,	 4.00
1930-02,	 889,	0.291,	 4.00
1930-03,	1406,	0.291,	 4.00
1930-04,	1583,	0.291,	 4.00
1930-05,	 730,	0.291,	 4.00
1930-06,	 483,	0.291,	 4.00
1930-07,	 314,	0.291,	 4.00
1930-08,	 211,	0.291,	 4.00
1930-09,	 205,	0.291,	 4.00
1930-10,	 209,	0.291,	 4.00
1930-11,	 196,	0.291,	 4.00
1930-12,	 240,	0.291,	 4.00
1931-01,	 186,	0.291,	 4.00
1931-02,	 224,	0.291,	 4.00
1931-03,	 614,	0.291,	 4.00
1931-04,	1302,	0.291,	 4.00
1931-05,	 907,	0.291,	 4.00
1931-06,	 395,	0.291,	 4.00
1931-07,	 299,	0.291,	 4.00
1931-08,	 206,	0.291,	 4.00
1931-09,	 277,	0.291,	 4.00
1931-10,	 300,	0.291,	 4.00
1931-11,	 529,	0.291,	 4.00
1931-12,	 712,	0.291,	 4.00
1932-01,	1247,	0.291,	 4.00
1932-02,	 944,	0.291,	 4.00
1932-03,	 630,	0.291,	 4.00
1932-04,	2238,	0.291,	 4.00
1932-05,	 911,	0.291,	 4.00
1932-06,	 301,	0.291,	 4.00
1932-07,	 388,	0.291,	 4.00
1932-08,	 263,	0.291,	 4.00
1932-09,	 219,	0.291,	 4.00
1932-10,	 658,	0.291,	 4.00
1932-11,	 887,	0.291,	 4.00
1932-12,	 626,	0.291,	 4.00
1933-01,	 747,	0.291,	 4.00
1933-02,	 470,	0.291,	 4.00
1933-03,	 843,	0.291,	 4.00
1933-04,	1999,	0.291,	 4.00
