YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1928-03,	 592.9,	0.558,	10.00
1928-04,	 695.3,	0.558,	10.00
1928-05,	 180.9,	0.558,	10.00
1928-06,	 606.4,	0.558,	10.00
1928-07,	 271.0,	0.558,	10.00
1928-08,	  55.6,	0.600,	11.00
1928-09,	  24.1,	0.600,	11.00
1928-10,	  36.1,	0.600,	11.00
1928-11,	 151.3,	0.600,	11.00
1928-12,	 266.9,	0.600,	11.00
1929-01,	1085.9,	0.600,	11.00
1929-02,	 620.6,	0.600,	11.00
1929-03,	1303.2,	0.600,	11.00
1929-04,	1437.1,	0.600,	11.00
1929-05,	 912.3,	0.600,	11.00
1929-06,	 133.5,	0.600,	11.00
1929-07,	 410.0,	0.600,	11.00
1929-08,	  84.8,	0.600,	11.00
1929-09,	  38.8,	0.600,	11.00
1929-10,	 263.6,	0.600,	11.00
1929-11,	 649.2,	0.600,	11.00
1929-12,	 942.9,	0.600,	11.00
1930-01,	2569.5,	0.600,	11.00
1930-02,	 963.8,	0.600,	11.00
1930-03,	 836.7,	0.600,	11.00
1930-04,	 723.8,	0.600,	11.00
1930-05,	 128.8,	0.600,	11.00
1930-06,	  86.3,	0.600,	11.00
1930-07,	  27.7,	0.600,	11.00
1930-08,	  17.7,	0.600,	11.00
1930-09,	  24.3,	0.600,	11.00
1930-10,	  29.9,	0.627,	11.00
1930-11,	  33.4,	0.627,	11.00
1930-12,	 107.2,	0.627,	11.00
1931-01,	 158.8,	0.627,	11.00
1931-02,	 207.5,	0.627,	11.00
1931-03,	 325.9,	0.627,	11.00
1931-04,	 563.5,	0.627,	11.00
1931-05,	 210.3,	0.627,	11.00
1931-06,	 160.3,	0.627,	10.27
1931-07,	  68.4,	0.627,	10.00
1931-08,	  31.6,	0.627,	10.00
1931-09,	  57.1,	0.627,	10.00
1931-10,	  54.3,	0.627,	11.00
1931-11,	 106.5,	0.627,	11.00
1931-12,	 487.8,	0.627,	11.00
1932-01,	1468.9,	0.627,	11.00
1932-02,	 540.7,	0.627,	11.00
1932-03,	 431.1,	0.627,	11.00
1932-04,	 462.7,	0.627,	11.00
1932-05,	 350.3,	0.627,	11.00
1932-06,	  80.7,	0.627,	11.00
1932-07,	  88.7,	0.627,	11.00
1932-08,	  26.0,	0.627,	11.00
1932-09,	  49.4,	0.627,	11.00
1932-10,	  57.4,	0.627,	11.00
1932-11,	 302.2,	0.627,	11.00
1932-12,	 809.2,	0.627,	11.00
1933-01,	 749.2,	0.627,	11.00
1933-02,	 423.9,	0.627,	11.00
1933-03,	1360.5,	0.627,	11.00
1933-04,	1045.4,	0.627,	11.00
1933-05,	1196.0,	0.627,	11.00
1933-06,	  61.4,	0.627,	11.00
1933-07,	  40.8,	0.627,	11.00
1933-08,	  29.5,	0.627,	11.00
1933-09,	  70.4,	0.627,	11.00
1933-10,	  84.7,	0.627,	11.00
1933-11,	 100.9,	0.627,	11.00
