YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1932-04,	 465,	0.392,	 3.0
1932-05,	 330,	0.392,	 3.0
1932-06,	 147,	0.392,	 3.0
1932-07,	 129,	0.392,	 3.0
1932-08,	  95,	0.392,	 3.5
1932-09,	 173,	0.392,	 4.0
1932-10,	 199,	0.392,	 4.0
1932-11,	 294,	0.392,	 4.0
1932-12,	 369,	0.392,	 4.0
1933-01,	 301,	0.392,	 4.0
1933-02,	 280,	0.392,	 4.0
1933-03,	 310,	0.392,	 4.0
1933-04,	 822,	0.392,	 4.0
1933-05,	 523,	0.392,	 4.0
1933-06,	 125,	0.392,	 4.0
1933-07,	  70,	0.392,	 4.0
1933-08,	  62,	0.392,	 4.0
1933-09,	  78,	0.392,	 4.0
1933-10,	 127,	0.392,	 4.0
1933-11,	 158,	0.392,	 4.0
1933-12,	 266,	0.392,	 4.0
1934-01,	 297,	0.392,	 4.0
1934-02,	 148,	0.392,	 4.0
1934-03,	 317,	0.392,	 4.0
1934-04,	 616,	0.392,	 4.0
1934-05,	 140,	0.392,	 4.0
1934-06,	  67,	0.392,	 4.0
1934-07,	  55,	0.392,	 4.0
1934-08,	  52,	0.392,	 4.0
1934-09,	  84,	0.392,	 4.0
1934-10,	  70,	0.392,	 4.0
1934-11,	 165,	0.392,	 4.0
1934-12,	 150,	0.392,	 4.0
1935-01,	 231,	0.392,	 4.0
1935-02,	 157,	0.392,	 4.0
1935-03,	 952,	0.392,	 4.0
1935-04,	 213,	0.392,	 4.0
1935-05,	 185,	0.392,	 4.0
1935-06,	 177,	0.392,	 4.0
1935-07,	  81,	0.392,	 4.5
1935-08,	  62,	0.392,	 5.0
1935-09,	  52,	0.392,	 5.0
1935-10,	  57,	0.392,	 5.0
1935-11,	 131,	0.392,	 5.0
1935-12,	 116,	0.392,	 5.0
1936-01,	  95,	0.392,	 5.0
1936-02,	 125,	0.392,	 5.0
1936-03,	 591,	0.392,	 5.0
1936-04,	 415,	0.392,	 5.0
1936-05,	 181,	0.392,	 5.0
1936-06,	  83,	0.392,	 5.0
1936-07,	  43,	0.392,	 5.0
1936-08,	  36,	0.392,	 5.0
1936-09,	  74,	0.392,	 5.0
1936-10,	 102,	0.392,	 4.0
1936-11,	 115,	0.392,	 4.0
1936-12,	 198,	0.392,	 4.0
1937-01,	 322,	0.424,	 4.6
1937-02,	 347,	0.445,	 5.0
1937-03,	 204,	0.445,	 5.0
1937-04,	 694,	0.445,	 5.0
1937-05,	 308,	0.445,	 5.0
