Date,Observed,Inflow_cms,Outflow_cms,Precip_mm,Evap_mm,Runoff_cms,P_minus_E_m,Seconds,Runoff_h,s_t,WO_opt,Controlled,Release_m
2016-12-01,74.46,6300,6909.30990515423,92.5,119.636,1258.0,-0.027135999999999997,2678400,0.17771240506329114,0.15057640506329115,74.57,74.20647386992732,0.0
2017-01-01,74.62,6320,6229.70565218824,89.39,80.898,1769.0,0.008492000000000005,2678400,0.2498992405063291,0.2583912405063291,74.72,74.27097560990806,0.0
2017-02-01,74.82,6540,6711.09199803915,75.52,65.737,1706.0,0.009783000000000002,2419200,0.21767696202531645,0.22745996202531646,74.82,74.54212235575083,0.0
2017-03-01,75.0,6510,7447.3299387523,78.71,61.024,1890.0,0.017685999999999993,2678400,0.26699240506329114,0.2846784050632911,74.84,74.74775184511496,0.0
2017-04-01,75.35,6880,7787.1320652353,133.64,5.952,3108.0,0.127688,2592000,0.4248911392405063,0.5525791392405063,75.0,74.90001756515957,0.0
2017-05-01,75.8,7320,8580.00369369562,154.44,12.925,2428.0,0.14151499999999997,2678400,0.342993417721519,0.484508417721519,75.15,75.15,0.1785837132033521
2017-06-01,75.81,7200,10222.3806383634,127.75,26.587,1313.0,0.101163,2592000,0.17949873417721518,0.2806617341772152,75.16,75.16,0.29651295921971155
2017-07-01,75.69,7170,10392.2817016049,120.53,46.153,1301.0,0.07437700000000001,2678400,0.18378683544303798,0.258163835443038,75.13,75.027475520325,0.0
2017-08-01,75.43,6940,10392.2817016049,89.45,78.325,638.0,0.011125,2678400,0.09012759493670885,0.10125259493670885,75.01,74.83044107994638,0.0
2017-09-01,75.08,6580,9599.4100731446,57.64,60.39,410.0,-0.00275,2592000,0.0560506329113924,0.0533006329113924,74.82,74.44400425982093,0.0
2017-10-01,74.86,6610,8636.63738144278,153.14,83.043,743.0,0.07009699999999998,2678400,0.10496050632911393,0.1750575063291139,74.65,74.08452478146698,0.0
2017-11-01,74.87,6820,8353.46894270696,88.96,99.528,2252.0,-0.010568000000000011,2592000,0.30786835443037974,0.2973003544303797,74.56,73.97328769062013,0.0
2017-12-01,74.77,6800,8523.37000594845,74.37,128.164,1052.0,-0.05379399999999998,2678400,0.14861164556962025,0.09481764556962027,74.57,74.06094925288296,0.0
2018-01-01,74.83,6320,6229.70565218824,93.08,97.647,1990.0,-0.004567000000000008,2678400,0.28111898734177215,0.27655198734177217,74.72,73.91231361659962,0.0
